ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,prob,lik,rewardPE,update2,fitCBCsimpleRW_CBCsimpleSigmoid_startBelief,fitCBCsimpleRW_CBCsimpleSigmoid_alpha1,fitCBCsimpleRW_CBCsimpleSigmoid_beta,fit_CBCsimpleRW_CBCsimpleSigmoid_NLL
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,21,1,3,b,1,0,1,aud,B,27,1,1B,3B,1,0,b,2.61349879999989,1,0,1,1,1B,3B,B13,3.58351893845611,0.619949492452583,0.5,0.5,0.5,0.5,0.702540974454022,0.5,0.5,0.5,0.416702398278653,0.543978497463226,0.416702398278653,0.5,0.5,0.416702398278653,0.594862744169355,0.702540974454022,0.5,0.584213751862376,0.415786248137624,0.925972818380552,0.925972818380552,0.297459025545978,0.049555246876698,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,22,2,3,b,1,0,2,aud,C,63,1,2C,3C,1,0,b,2.32661290000033,1,0,1,1,2C,3C,C23,2.51230562397611,0.619949492452583,0.5,0.5,0.5,0.5,0.75209622133072,0.5,0.5,0.5,0.416702398278653,0.543978497463226,0.416702398278653,0.5,0.5,0.416702398278653,0.594862744169355,0.543978497463226,0.416702398278653,0.566242651305294,0.433757348694706,0.879455026808982,0.879455026808982,0.456021502536774,0.0759709949893571,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,23,1,0,z,0,1,0,aud,A,63,0,1A,0A,1,0,z,1.51755240000011,0,1,1,0,0A,1A,A10,2.53897387105828,0.619949492452583,0.5,0.5,0.5,0.5,0.75209622133072,0.5,0.5,0.5,0.416702398278653,0.619949492452583,0.416702398278653,0.5,0.5,0.416702398278653,0.594862744169355,0.619949492452583,0.5,0.553551295509722,0.446448704490278,0.832930296902073,0.832930296902073,-0.619949492452583,-0.103280611819333,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,24,1,2,b,1,0,1,aud,B,9,1,1B,2B,1,0,b,1.58183529999997,1,0,1,1,1B,2B,B12,3.66356164612965,0.51666888063325,0.5,0.5,0.5,0.5,0.75209622133072,0.5,0.5,0.5,0.416702398278653,0.619949492452583,0.416702398278653,0.5,0.5,0.416702398278653,0.594862744169355,0.75209622133072,0.5,0.600669667808275,0.399330332191725,0.953473518644999,0.953473518644999,0.24790377866928,0.0412995804416215,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,25,3,2,z,0,1,2,aud,C,63,1,3C,2C,0,1,z,1.88420610000003,0,1,1,1,2C,3C,C32,2.99573227355399,0.51666888063325,0.5,0.5,0.5,0.5,0.793395801772341,0.5,0.5,0.5,0.416702398278653,0.619949492452583,0.416702398278653,0.5,0.5,0.416702398278653,0.594862744169355,0.619949492452583,0.416702398278653,0.598030542360061,0.401969457639939,0.94983240472119,0.94983240472119,0.380050507547417,0.0633145916233613,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,26,3,2,b,1,0,3,aud,D,63,0,3D,2D,0,1,b,2.44767640000009,1,0,1,0,3D,2D,D32,3.71357206670431,0.51666888063325,0.5,0.5,0.5,0.5,0.793395801772341,0.5,0.5,0.5,0.416702398278653,0.683264084075945,0.416702398278653,0.5,0.5,0.416702398278653,0.594862744169355,0.594862744169355,0.416702398278653,0.588061726533771,0.411938273466229,0.933506999505444,0.933506999505444,-0.594862744169355,-0.0991012798853735,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,27,1,0,b,1,0,1,aud,B,63,1,1B,0B,1,0,b,1.74692489999961,1,0,1,1,1B,0B,B10,2.63905732961526,0.51666888063325,0.5,0.5,0.5,0.5,0.793395801772341,0.5,0.5,0.5,0.416702398278653,0.683264084075945,0.416702398278653,0.5,0.5,0.416702398278653,0.495761464283982,0.793395801772341,0.5,0.613420733765449,0.386579266234551,0.967786378406062,0.967786378406062,0.206604198227659,0.0344192684358516,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,28,2,0,z,0,1,0,aud,A,27,1,2A,0A,0,1,z,1.51640159999988,0,1,1,1,0A,2A,A20,3.76120011569356,0.51666888063325,0.5,0.5,0.5,0.5,0.827815070208193,0.5,0.5,0.5,0.416702398278653,0.683264084075945,0.416702398278653,0.5,0.5,0.416702398278653,0.495761464283982,0.51666888063325,0.5,0.508197792295397,0.491802207704603,0.561175410605264,0.561175410605264,0.48333111936675,0.0805206461610891,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,29,3,1,b,1,0,3,aud,D,27,1,3D,1D,1,0,z,2.33447410000008,0,1,0,0,1D,3D,D31,3.09104245335832,0.597189526794339,0.5,0.5,0.5,0.5,0.827815070208193,0.5,0.5,0.5,0.416702398278653,0.683264084075945,0.416702398278653,0.5,0.5,0.416702398278653,0.495761464283982,0.5,0.495761464283982,0.502128288685617,0.497871711314383,0.515956744541132,0.515956744541132,-0.5,-0.0832976017213474,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,30,0,1,b,1,0,0,aud,A,63,1,0A,1A,1,0,b,1.47099959999969,1,0,1,1,0A,1A,A01,3.11351530921037,0.597189526794339,0.5,0.5,0.5,0.5,0.827815070208193,0.5,0.5,0.5,0.416702398278653,0.683264084075945,0.416702398278653,0.5,0.416702398278653,0.416702398278653,0.495761464283982,0.597189526794339,0.5,0.544290218062096,0.455709781937904,0.790626599381759,0.790626599381759,0.402810473205661,0.0671062927325452,0.5,0.166595203442695,14.9999998788953,15.617384374329
