ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPairNorm,beliefOtherPairNorm,beliefPair,beliefOtherPair,lik,corrLik,rewardPE,update2,rewardPEOP,update2OP,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_1072,CBC_1072_MSI_AV_v3_Vset6_Aset2_2024-02-02_15h59.48.628.csv,3,4,2,3,b,1,0,3,aud,C,63,1,2C,3C,1,0,b,2.04879269999947,1,0,1,1,2C,3C,C23,2.94443897916644,0.5,0.5,0.5,0.5,0.281096139327968,0.99690920358102,0.5,0.00549775679304759,0.5,0.5,0.5,0.5,0.5,0.5,0.00549775679304759,0.718903860672032,0.5,0.5,0.5,0.5,0.313894405529239,0.499798422567423,0.5,0.494502243206952,0.5,-0.218903860672032,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.989004486413905,0.437807721344064,1.32112125603501,0.228518018894898,2.10208030374857,0.5,69.1747120468078
CBC_1072,CBC_1072_MSI_AV_v3_Vset6_Aset2_2024-02-02_15h59.48.628.csv,3,5,0,2,z,0,1,3,aud,C,27,1,0C,2C,0,1,z,1.44874739999977,0,1,1,1,2C,0C,C02,2.99573227355399,0.5,0.5,0.5,0.5,0.281096139327968,0.99690920358102,0.5,0.00549775679304759,0.5,0.5,0.994502243206952,0.281096139327968,0.5,0.5,0.00549775679304759,0.718903860672032,0.994502243206952,0.00549775679304765,0.994502243206952,0.5,0.153532433815657,0.617011717684006,0.00549775679304765,0.00543730613353665,0.5,-0.218903860672032,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.989004486413905,0.437807721344064,1.32112125603501,0.228518018894898,2.10208030374857,0.5,69.1747120468078
CBC_1072,CBC_1072_MSI_AV_v3_Vset6_Aset2_2024-02-02_15h59.48.628.csv,3,6,0,3,b,1,0,0,aud,A,9,1,0A,3A,1,0,b,2.5882158000004,1,0,1,1,0A,3A,A03,3.04452243772342,0.5,0.5,0.5,0.5,0.281096139327968,0.99690920358102,0.5,0.00549775679304759,0.281096139327968,0.5,0.999939549340489,0.281096139327968,0.5,0.5,0.00549775679304759,0.718903860672032,0.5,0.5,0.5,0.5,0.172560757445509,0.499616588947235,0.5,0.494502243206952,0.5,-0.218903860672032,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.989004486413905,0.437807721344064,1.32112125603501,0.228518018894898,2.10208030374857,0.5,69.1747120468078
CBC_1072,CBC_1072_MSI_AV_v3_Vset6_Aset2_2024-02-02_15h59.48.628.csv,3,7,2,3,b,1,0,3,aud,C,63,1,2C,3C,1,0,z,2.33727270000054,0,1,0,0,3C,2C,C23,2.39789527279837,0.994502243206952,0.5,0.5,0.281096139327968,0.281096139327968,0.99690920358102,0.5,0.00549775679304759,0.281096139327968,0.5,0.999939549340489,0.281096139327968,0.5,0.5,0.00549775679304759,0.718903860672032,2.36374757764946e-05,0.999976362524224,0.281096139327968,0.999939549340489,0.174676441743531,0.381466079745676,-0.281096139327968,-0.278005342908988,-6.0450659510991e-05,2.64657654942529e-05,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.989004486413905,0.437807721344064,1.32112125603501,0.228518018894898,2.10208030374857,0.5,69.1747120468078
CBC_1072,CBC_1072_MSI_AV_v3_Vset6_Aset2_2024-02-02_15h59.48.628.csv,3,8,1,0,z,0,1,0,aud,A,63,1,1A,0A,0,1,z,2.37405100000069,0,1,1,1,0A,1A,A10,3.13549421592915,0.994502243206952,0.5,0.5,0.281096139327968,0.281096139327968,0.99690920358102,0.5,0.00549775679304759,0.281096139327968,0.5,0.999966015105983,0.00309079641897958,0.5,0.5,0.00549775679304759,0.718903860672032,0.994502243206952,0.00549775679304765,0.994502243206952,0.5,0.270776651697938,0.616684292092963,0.00549775679304765,0.00543730613353665,0.5,-0.218903860672032,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.989004486413905,0.437807721344064,1.32112125603501,0.228518018894898,2.10208030374857,0.5,69.1747120468078
CBC_1072,CBC_1072_MSI_AV_v3_Vset6_Aset2_2024-02-02_15h59.48.628.csv,3,9,2,3,z,0,1,2,aud,D,63,1,2D,3D,0,1,z,1.91795370000182,0,1,1,1,3D,2D,D23,3.17805383034795,0.999939549340489,0.281096139327968,0.5,0.281096139327968,0.281096139327968,0.99690920358102,0.5,0.00549775679304759,0.281096139327968,0.5,0.999966015105983,0.00309079641897958,0.5,0.5,0.00549775679304759,0.718903860672032,0.997843119476376,0.0021568805236242,0.718903860672032,0.00549775679304759,0.449686513494754,0.616999607293625,0.281096139327968,0.278005342908988,0.00549775679304765,-0.00240696037406804,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.989004486413905,0.437807721344064,1.32112125603501,0.228518018894898,2.10208030374857,0.5,69.1747120468078
CBC_1072,CBC_1072_MSI_AV_v3_Vset6_Aset2_2024-02-02_15h59.48.628.csv,3,10,3,2,z,0,1,3,aud,C,63,1,3C,2C,0,1,b,2.39705230000072,1,0,0,0,3C,2C,C32,3.2188758248682,0.999939549340489,0.281096139327968,0.5,0.281096139327968,0.281096139327968,0.99690920358102,0.5,0.00549775679304759,0.281096139327968,0.5,0.999966015105983,0.00309079641897958,0.5,0.5,0.00309079641897955,0.99690920358102,1.05369623621046e-07,0.999999894630376,0.00309079641897958,0.999966015105983,0.163513422425438,0.382291883945449,-0.00309079641897958,-0.00305681152496284,-3.39848940167364e-05,1.48788490095869e-05,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.989004486413905,0.437807721344064,1.32112125603501,0.228518018894898,2.10208030374857,0.5,69.1747120468078
CBC_1072,CBC_1072_MSI_AV_v3_Vset6_Aset2_2024-02-02_15h59.48.628.csv,3,11,3,1,b,1,0,2,aud,D,27,1,3D,1D,1,0,b,2.41847349999989,1,0,1,1,3D,1D,D31,3.25809653802148,0.999939549340489,0.281096139327968,0.5,0.281096139327968,0.281096139327968,0.99690920358102,0.5,0.00549775679304759,0.281096139327968,0.5,0.999980893954993,3.39848940167442e-05,0.5,0.5,0.00309079641897955,0.99690920358102,0.99690920358102,0.00309079641897958,0.99690920358102,0.5,0.257850342828606,0.617769334304964,0.00309079641897958,0.00305681152496284,0.5,-0.218903860672032,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.989004486413905,0.437807721344064,1.32112125603501,0.228518018894898,2.10208030374857,0.5,69.1747120468078
CBC_1072,CBC_1072_MSI_AV_v3_Vset6_Aset2_2024-02-02_15h59.48.628.csv,3,12,0,1,b,1,0,0,aud,A,63,0,0A,1A,0,1,b,2.1558700000005,1,0,1,0,0A,1A,A01,3.29583686600433,0.999939549340489,0.281096139327968,0.5,0.281096139327968,0.281096139327968,0.99690920358102,0.5,0.00549775679304759,0.281096139327968,0.5,0.999980893954993,3.39848940167442e-05,0.5,0.281096139327968,0.00309079641897955,0.999966015105983,0.999976362524224,2.36374757764946e-05,0.999939549340489,0.281096139327968,0.347726862351177,0.618047878418227,-0.999939549340489,-0.988944700440442,-0.718903860672032,0.314741661106273,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.989004486413905,0.437807721344064,1.32112125603501,0.228518018894898,2.10208030374857,0.5,69.1747120468078
CBC_1072,CBC_1072_MSI_AV_v3_Vset6_Aset2_2024-02-02_15h59.48.628.csv,3,13,3,2,z,0,1,3,aud,C,63,1,3C,2C,0,1,b,2.8351928000011,1,0,0,0,3C,2C,C32,2.63905732961526,0.0109948489000472,0.595837800434241,0.5,0.281096139327968,0.281096139327968,0.99690920358102,0.5,0.00549775679304759,0.281096139327968,0.5,0.999980893954993,3.39848940167442e-05,0.5,0.281096139327968,0.00309079641897955,0.999966015105983,6.49351388477144e-10,0.999999999350649,3.39848940167442e-05,0.999980893954993,0.09920383564379,0.382579946436852,-3.39848940167442e-05,-3.36112126528611e-05,-1.91060450071001e-05,8.36477402845563e-06,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.989004486413905,0.437807721344064,1.32112125603501,0.228518018894898,2.10208030374857,0.5,69.1747120468078
